,0
2015-06-17 11:21:00,8.625
2015-06-13 12:57:00,5.316
2015-06-21 15:00:00,5.05
2015-06-21 19:30:00,4.766
2015-06-20 13:01:00,4.492
2015-06-11 13:38:02,6.273
2015-03-21 13:40:00,7.24
2015-03-18 13:30:00,2.707
2015-02-26 14:00:00,3.361
2015-03-10 13:41:00,6.38
2015-03-01 14:00:00,15.8
2015-02-26 10:13:00,5.52
2015-03-13 10:00:00,12.2
2015-03-01 14:00:00,11.55
2015-03-01 14:00:00,11.305
2015-03-23 13:47:00,3.928
2015-03-05 13:56:00,11.48
2015-03-08 15:00:00,1.706
2015-03-01 14:00:00,11.1
2015-03-05 10:15:00,4.668
2015-05-20 13:10:00,7.11
2015-05-26 12:00:00,6.867
2015-06-01 12:00:00,5.953
2015-05-12 13:45:00,8.766
2015-05-12 13:45:00,9.3
2015-05-05 09:30:11,11.4
2015-06-05 11:00:00,5.355
2015-05-28 11:28:00,1.924
2015-05-05 09:30:11,9.7
2015-05-08 09:00:00,8.05
2015-05-12 13:45:00,8.664
2015-05-26 12:00:00,6.836
2015-05-14 12:52:00,3.621
2015-05-21 06:44:00,3.072
2015-06-04 11:00:00,2.518
2015-05-12 09:00:00,3.51
2015-04-28 15:14:00,5.207
2015-05-05 09:30:11,10.9
2015-06-01 12:00:00,6.047
2015-04-30 15:00:00,3.125
2015-06-01 12:00:00,6.4
2015-05-05 09:30:11,10.5
2015-05-28 11:28:00,5.35
2015-05-14 13:51:00,5.293
2015-05-20 13:10:00,6.86
2015-05-06 09:00:00,12.59
2015-05-20 13:10:00,5.95
2015-05-08 09:00:00,8.5
2015-05-05 09:30:11,11.6
2015-05-21 08:36:00,5.992
2015-04-22 15:00:00,2.887
2015-05-05 09:30:11,10.9
2015-05-26 12:00:00,6.402
2015-05-12 13:45:00,8.164
2015-05-12 13:45:00,8.266
2015-05-26 12:00:00,6.6
2015-05-20 13:10:00,5.67
2015-05-20 13:10:00,8.39
2015-05-05 09:30:11,11.8
2015-06-01 12:00:00,5.832
2015-05-01 18:58:20,9.65
2015-05-05 09:30:11,9.9
2015-05-05 09:30:11,9.2
2015-06-01 12:00:00,5.9
2015-05-10 12:00:00,5.08
2015-05-26 12:00:00,6.7
