,0
2015-06-21 19:30:00,0.1
2015-06-21 15:00:00,0.6
2015-06-17 11:21:00,0.6
2015-06-20 13:01:00,0.6
2015-06-13 12:57:00,-0.4
2015-06-22 13:01:00,0.3
2015-06-11 13:38:02,-0.9
2015-06-15 11:57:00,0.4
2015-02-09 21:00:00,-21.7
2015-01-22 21:45:00,
2015-02-09 21:45:00,-9.2
2015-02-12 14:46:00,-24.8
2015-01-26 10:25:00,-28.2
2015-01-26 13:08:00,-31.1
2015-02-03 14:54:00,-31.1
2015-01-29 12:00:00,-39.9
2015-02-10 15:39:00,-27.1
2015-03-18 13:30:00,-28.9
2015-03-13 10:00:00,-16.2
2015-03-23 13:47:00,-25.2
2015-03-10 13:41:00,-1.9
2015-03-05 10:15:00,-8.5
2015-03-12 09:28:00,-24.7
2015-03-21 13:40:00,-22.7
2015-05-21 06:44:00,-6.2
2015-05-14 13:51:00,-5.7
2015-05-21 08:36:00,-7.0
2015-05-20 13:10:00,-3.1
2015-06-01 12:00:00,-0.5
2015-05-18 10:20:00,
2015-05-01 18:58:20,
2015-05-28 11:28:00,-2.4
2015-05-26 12:00:00,
2015-05-18 08:35:00,
2015-05-26 12:00:00,
2015-04-28 15:14:00,-10.5
2015-06-04 11:00:00,
2015-04-22 15:00:00,-17.5
2015-05-14 12:52:00,-7.4
2015-05-18 09:48:00,
2015-05-20 13:10:00,-3.1
2015-05-26 12:00:00,
2015-05-06 09:00:00,-10.3
2015-06-01 12:00:00,-0.1
2015-05-18 11:05:00,
2015-05-26 12:00:00,
2015-05-26 12:00:00,
2015-05-18 09:10:00,
2015-05-10 12:00:00,
2015-05-20 13:10:00,-3.1
2015-04-30 15:00:00,
2015-05-26 12:00:00,
2015-06-01 12:00:00,
2015-05-12 09:00:00,
2015-05-20 13:10:00,-3.1
2015-05-07 08:30:00,
2015-05-20 13:10:00,-3.1
2015-06-01 12:00:00,-0.5
2015-06-01 12:00:00,-0.6
2015-05-28 11:28:00,-2.4
